Island,Group,Atoll,island_abbreviation,atoll_abbreviation,island_snake,lat,lon,rats_f,size,nonf,wetl,natf,mish,sava,beac,nonf_percent,wetl_percent,natf_percent,mish_percent,sava_percent,beac_percent,Ardenna.pacifica,Puffinus.bailloni,Phaethon.lepturus,Phaethon.rubricauda,Sula.dactylatra,Sula.sula,Sula.leucogaster,Fregeta.minor,Fregeta.ariel,Thalasseus.bergii,Sterna.dougallii,Sterna.sumatrana,Sternula.albifrons,Onychoprion.anaethetus,Onychoprion.fuscatus,Anous.stolidus,Anous.tenuirostris,Gygis.alba,dist,inha,seabird_sp,seabird_abundance,Island_duplicates,forage_avail_2022,forage_avail_2023,forage_access_2022,forage_access_2023,forage_avail_mean,forage_access_mean,RFB_veg,RFB_veg_percent
Diego Garcia,Diego Garcia,Diego Garcia,DIEG,DEGA,diego_garcia,-7.33,72.434836,present,2171.3,396.35,0,959.43,48.81,0,766.7,18.25404135771197,0,44.18689264495924,2.247962050384562,0,35.310643393358816,18,2,6,5,0,8068,0,0,0,14,0,5,5,0,0,400,25,200,4,1,11,9949,Diego Garcia,35,73,85.86927361246363,72.04831884215653,54,78.95879622731007,1008.24,46.4348546953438
East Island,Diego Garcia,Diego Garcia,EASI,DEGA,east_island,-7.226989,72.418672,absent,13.9,0,0,8.4,1.4,0.1,4,0,0,60.431654676258994,10.071942446043163,0.7194244604316548,28.776978417266186,0,0,0,0,0,1113,3,0,0,0,0,0,0,0,0,34,40,15,3,1,5,1205,East Island,31,62,88.3131005211177,83.52767377316239,46.5,85.92038714714005,9.8,70.50359712230215
Middle Island,Diego Garcia,Diego Garcia,MIDI,DEGA,middle_island,-7.228792,72.408427,absent,4.3,0,0,0.7,1.6,0,2,0,0,16.279069767441857,37.2093023255814,0,46.51162790697674,0,0,0,0,0,520,0,0,0,0,0,1,0,0,0,22,10,10,3,0,5,553,Middle Island,31,62,88.31321143517584,85.0827224871396,46.5,86.69796696115773,2.3,53.48837209302326
West Island,Diego Garcia,Diego Garcia,WESI,DEGA,west_island,-7.247971,72.384798,absent,1,0,0,0.3,0.3,0,0.4,0,0,30,30,0,40,0,0,0,0,0,268,0,0,0,0,0,0,0,8,0,240,0,0,3,0,3,516,West Island,29,62,89.09671419083608,87.18184134831175,45.5,88.13927776957391,0.6,60
Sudest complex,Egmont Islands,Egmont Islands,SUDC,EGIS,sudest_complex,-6.687426,71.385881,present,205.2,127.217876926703,0,33.41,41.7,1.83281974790358,1,61.997016046151565,0,16.28167641325536,20.321637426900587,0.8931870116489181,0.48732943469785583,0,0,2,0,0,123,0,0,0,70,0,40,0,0,0,24,0,17,1,1,6,276,Sudest complex,35,52,63.01966216811816,72.74864371633738,43.5,67.88415294222777,75.11,36.60331384015595
Lubine complex,Egmont Islands,Egmont Islands,LUBC,EGIS,lubine_complex,-6.665273,71.326087,present,217.2,131.27466616641,10.5286259082114,14.2,55.1400117021518,4.5112143156526,1.5,60.43953322578729,4.847433659397514,6.537753222836096,25.38674571922275,2.0769863331733887,0.6906077348066298,0,0,0,0,0,1,0,0,0,0,0,30,0,0,0,40,0,30,1,0,4,101,Lubine complex,33,50,62.765134346660226,74.98712944664972,41.5,68.87613189665497,79.86863761036321,36.77193260145635
Danger,Danger Island,Great Chagos Bank,DANG,GRCB,danger,-6.388138,71.239501,absent,68.5,0,0,26.9,38.2,1.9,1.5,0,0,39.270072992700726,55.76642335766424,2.773722627737226,2.18978102189781,40,10,0,0,0,3500,141,0,0,0,0,0,0,0,0,45,2400,35,0,0,7,6171,Danger,29,48,88.47255000168488,86.43476936429632,38.5,87.4536596829906,65.1,95.03649635036496
Sea Cow,Eagle Islands,Great Chagos Bank,SEAC,GRCB,sea_cow,-6.235758,71.294717,absent,20.5,0,0,11.3,6.3,2.1,0.8,0,0,55.1219512195122,30.73170731707317,10.24390243902439,3.902439024390244,150,5,0,0,0,1400,0,0,0,5,0,14,0,11,0,140,1200,25,0,0,9,2950,Sea Cow,30,51,95.77814452399544,92.74045603870525,40.5,94.25930028135032,17.6,85.85365853658537
Eagle,Eagle Islands,Great Chagos Bank,EAGL,GRCB,eagle,-6.188945,71.326368,present,265.4,192.01,9.38,13.51,9.63417454663038,40.6,0.3,72.3474001507159,3.534287867370008,5.090429540316504,3.630058231586428,15.297663903541824,0.11303692539562923,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,40,10,20,1,1,5,81,Eagle Island,32,51,98.68695890249474,86.36603365228791,41.5,92.52649627739132,32.52417454663038,12.25477563927294
South Brother,Brothers,Great Chagos Bank,SOUB,GRCB,south_brother,-6.171536,71.540908,absent,23,0,0,13.8,3.45,5.52,0.23,0,0,60,15,24,1,300,400,0,0,0,105,0,0,0,40,0,0,0,2,10000,55,11500,30,0,0,9,22432,South Brother,43,58,82.78896024683492,71.55705756619902,50.5,77.17300890651697,17.25,75
